NAME,B01003_001E,state,county
"Fremont County, Idaho",13701,16,043
"Gem County, Idaho",19854,16,045
"Gooding County, Idaho",15740,16,047
"Idaho County, Idaho",17120,16,049
"Jefferson County, Idaho",32234,16,051
"Jerome County, Idaho",24788,16,053
"Kootenai County, Idaho",177736,16,055
"Latah County, Idaho",40315,16,057
"Lemhi County, Idaho",8166,16,059
"Lewis County, Idaho",3649,16,061
"Lincoln County, Idaho",5276,16,063
"Madison County, Idaho",53578,16,065
"Minidoka County, Idaho",21922,16,067
"Nez Perce County, Idaho",42477,16,069
"Oneida County, Idaho",4681,16,071
"Owyhee County, Idaho",12284,16,073
"Payette County, Idaho",26190,16,075
"Power County, Idaho",8018,16,077
"Shoshone County, Idaho",13580,16,079
"Teton County, Idaho",12101,16,081
"Twin Falls County, Idaho",92121,16,083
"Valley County, Idaho",12136,16,085
"Washington County, Idaho",10866,16,087
"Adams County, Illinois",65166,17,001
"Alexander County, Illinois",5042,17,003
"Bond County, Illinois",16627,17,005
"Boone County, Illinois",53316,17,007
"Brown County, Illinois",6320,17,009
"Bureau County, Illinois",33027,17,011
"Calhoun County, Illinois",4406,17,013
"Carroll County, Illinois",15621,17,015
"Cass County, Illinois",12826,17,017
"Champaign County, Illinois",206098,17,019
"Christian County, Illinois",33684,17,021
"Clark County, Illinois",15328,17,023
"Clay County, Illinois",13173,17,025
"Clinton County, Illinois",36899,17,027
"Coles County, Illinois",46689,17,029
"Cook County, Illinois",5185812,17,031
"Crawford County, Illinois",18588,17,033
"Cumberland County, Illinois",10378,17,035
"DeKalb County, Illinois",100512,17,037
"De Witt County, Illinois",15461,17,039
"Douglas County, Illinois",19686,17,041
"DuPage County, Illinois",927263,17,043
"Edgar County, Illinois",16637,17,045
"Edwards County, Illinois",6118,17,047
"Effingham County, Illinois",34505,17,049
"Fayette County, Illinois",21380,17,051
"Ford County, Illinois",13396,17,053
"Franklin County, Illinois",37541,17,055
"Fulton County, Illinois",33259,17,057
"Gallatin County, Illinois",4857,17,059
"Greene County, Illinois",11837,17,061
"Grundy County, Illinois",52920,17,063
"Hamilton County, Illinois",7972,17,065
"Hancock County, Illinois",17434,17,067
"Hardin County, Illinois",3623,17,069
"Henderson County, Illinois",6284,17,071
"Henry County, Illinois",48948,17,073
"Iroquois County, Illinois",26746,17,075
"Jackson County, Illinois",52706,17,077
"Jasper County, Illinois",9233,17,079
"Jefferson County, Illinois",36808,17,081
"Jersey County, Illinois",21336,17,083
"Jo Daviess County, Illinois",21918,17,085
"Johnson County, Illinois",13350,17,087
"Kane County, Illinois",516097,17,089
"Kankakee County, Illinois",106833,17,091
"Kendall County, Illinois",135053,17,093
"Knox County, Illinois",49294,17,095
"Lake County, Illinois",711885,17,097
"LaSalle County, Illinois",109049,17,099
"Lawrence County, Illinois",15137,17,101
"Lee County, Illinois",34058,17,103
"Livingston County, Illinois",35659,17,105
"Logan County, Illinois",27870,17,107
"McDonough County, Illinois",27102,17,109
"McHenry County, Illinois",311366,17,111
"McLean County, Illinois",170882,17,113
"Macon County, Illinois",102591,17,115
"Macoupin County, Illinois",44566,17,117
"Madison County, Illinois",264631,17,119
"Marion County, Illinois",37294,17,121
"Marshall County, Illinois",11715,17,123
"Mason County, Illinois",12878,17,125
"Massac County, Illinois",13958,17,127
"Menard County, Illinois",12169,17,129
"Mercer County, Illinois",15619,17,131
"Monroe County, Illinois",34969,17,133
"Montgomery County, Illinois",28078,17,135
"Morgan County, Illinois",32621,17,137
"Moultrie County, Illinois",14469,17,139
"Ogle County, Illinois",51536,17,141
"Peoria County, Illinois",179831,17,143
"Perry County, Illinois",20810,17,145
"Piatt County, Illinois",16702,17,147
"Pike County, Illinois",14625,17,149
"Pope County, Illinois",3757,17,151
"Pulaski County, Illinois",5074,17,153
"Putnam County, Illinois",5600,17,155
"Randolph County, Illinois",30142,17,157
"Richland County, Illinois",15675,17,159
"Rock Island County, Illinois",142995,17,161
"St. Clair County, Illinois",254777,17,163
"Saline County, Illinois",23387,17,165
"Sangamon County, Illinois",195217,17,167
"Schuyler County, Illinois",6826,17,169
"Scott County, Illinois",4847,17,171
"Shelby County, Illinois",20867,17,173
"Stark County, Illinois",5324,17,175
"Stephenson County, Illinois",44042,17,177
"Tazewell County, Illinois",130555,17,179
"Union County, Illinois",16972,17,181
"Vermilion County, Illinois",73179,17,183
"Wabash County, Illinois",11199,17,185
"Warren County, Illinois",16576,17,187
"Washington County, Illinois",13682,17,189
"Wayne County, Illinois",15994,17,191
"White County, Illinois",13708,17,193
"Whiteside County, Illinois",55192,17,195
"Will County, Illinois",698450,17,197
"Williamson County, Illinois",66902,17,199
"Winnebago County, Illinois",283289,17,201
"Woodford County, Illinois",38348,17,203
"Adams County, Indiana",35995,18,001
"Allen County, Indiana",388791,18,003
"Bartholomew County, Indiana",82881,18,005
"Benton County, Indiana",8708,18,007
"Blackford County, Indiana",12007,18,009
"Boone County, Indiana",72827,18,011
"Brown County, Indiana",15543,18,013
"Carroll County, Indiana",20443,18,015
"Cass County, Indiana",37703,18,017
"Clark County, Indiana",122800,18,019
"Clay County, Indiana",26431,18,021
"Clinton County, Indiana",32967,18,023
"Crawford County, Indiana",10494,18,025
"Daviess County, Indiana",33442,18,027
"Dearborn County, Indiana",50828,18,029
"Decatur County, Indiana",26411,18,031
"DeKalb County, Indiana",43584,18,033
"Delaware County, Indiana",112109,18,035
"Dubois County, Indiana",43563,18,037
"Elkhart County, Indiana",206868,18,039
"Fayette County, Indiana",23390,18,041
"Floyd County, Indiana",80512,18,043
"Fountain County, Indiana",16546,18,045
"Franklin County, Indiana",22929,18,047
"Fulton County, Indiana",20411,18,049
"Gibson County, Indiana",32986,18,051
"Grant County, Indiana",66377,18,053
